Video Sample,Molar,Dye,R_Mean,R_Median,R_Mode,R_Min,R_Max,R_Std,G_Mean,G_Median,G_Mode,G_Min,G_Max,G_Std,B_Mean,B_Median,B_Mode,B_Min,B_Max,B_Std
7,10,0,107.8937411,108,108,67,114,1.370208559,144.1302276,144,144,103,150,1.400887579,108.4141536,108,108,67,113,1.546238114
8,10,300,93.64763314,94,94,79,99,1.137802702,73.4156213,73,73,58,80,1.187127107,0.14816568,0,0,0,4,0.454757438
10,1,300,50.94085679,51,51,45,59,1.517140824,61.739388,61,61,56,71,1.523182945,0.552411261,0,0,0,7,0.831454573
12,0.1,300,12.15610455,12,11,4,28,2.930568939,28.88906791,29,29,20,44,2.432509182,1.236185702,1,1,0,15,1.360034667
15,0.01,300,35.02920962,35,35,29,53,2.188840175,38.2415475,38,38,33,56,2.250956958,2.516683295,2,1,0,25,2.28648083
18,10,400,98.51498769,98,98,85,106,1.099594189,70.47492041,70,70,58,79,1.172185181,0.196071364,0,0,0,7,0.50468003
20,1,400,75.9343318,76,76,71,83,1.211564132,71.92130836,72,72,67,79,1.187141744,0.16063915,0,0,0,6,0.514556211
22,0.1,400,36.64352363,36,36,23,57,2.195689479,44.58489871,44,44,31,65,2.071423935,1.017618171,1,1,0,21,1.162329311
23,0.01,400,43.59975802,43,43,37,66,2.299951327,38.0461585,38,38,32,60,2.325868897,1.733272837,1,1,0,30,1.846515332
24,0.001,300,38.27862762,38,38,30,61,2.652690685,41.48645105,41,41,33,62,2.527197339,9.030758304,9,8,0,42,3.872698978
25,0.0001,300,32.36210317,32,32,25,57,2.642255394,35.29384921,35,35,27,59,2.613601834,7.265145503,7,6,0,42,3.233300929
27,0.001,400,36.20136974,36,35,28,60,2.976672799,27.60387939,27,27,19,52,3.110443539,6.287323037,6,5,0,41,3.399348215
29,0.0001,400,32.82867425,32,32,24,60,3.203759254,24.38043828,24,24,14,53,3.210057109,4.858749438,4,3,0,39,3.165380613
SOCA Sample,0.0065,400,,,,,,,35.911,,,,,,,,,,,
